name,lat,lon
Ab Gokh,14.73,-17.33
Abattoirs,14.68,-17.45
Abdalla,16.24,-13.98
Abdou,14.95,-16.33
Abdou Dao,14.92,-15.73
Abdou Dia,15.55,-16.35
Abirane Gaye,15.88,-16.23
Abou,14.77,-17.34
Abékouta,13.33,-14.62
Abémé,13,-16.73
Acaré,14.77,-12.77
Adabere,15.14,-12.79
Adiana,12.45,-15.82
Adioufa,12.54,-15.75
Adjing,12.46,-15.67
Adoun Bram,12.47,-15.92
Adéane,12.63,-16.02
Afe,15.13,-15.43
Afe,14.78,-15.93
Afe,15.38,-16.23
Afe Niang,15.78,-16.26
Afe Niang,15.78,-16.3
Affiniam,12.65,-16.36
Affé,15.75,-16.3
Afia,13.23,-13.7
Afia,12.55,-12.53
Afia II,12.37,-12.31
Aga,14.37,-16.77
Aga Babou,14.33,-16.75
Agnak,12.57,-16.12
Agnak Grand,12.57,-16.1
Agnam Goli,16.01,-13.69
Agnam Lidoubé,16,-13.69
Agoun,12.45,-16.53
Aguior,12.93,-16.13
Ahabétou Talap,14.87,-15.62
Ahere,12.67,-16.7
Ahibdia,15.53,-15.85
Ahinga,12.41,-16.36
Ai Noumale,15.01,-16.29
Aidara,13.68,-16.42
Aikoun,12.44,-12.74
Ainoumadi,15.27,-12.93
Ainoumal,15.85,-16.02
Ainoumal,13.97,-15.13
Ainoumal,13.62,-15.67
Aitia,14.71,-17.16
Akal,12.8,-13.67
Akinntou Mankagne Numero 1,12.53,-15.88
Akoundé,13.13,-14.33
Aladji Ali,15.29,-15.9
Aladji Omar,15.03,-15.89
Alahina,14.83,-12.48
Alahina,14.43,-12.2
Alakounda,13.17,-15.97
Alaleri,14.85,-12.54
Alali,13.93,-13.48
Alalon,12.98,-14.57
Alana,15.04,-14.46
Alana,14.92,-12.62
Alanbato,12.9,-15.56
Alarba,16.43,-15.71
Albadar,13,-16.7
Alfa Sadou,12.7,-15.02
Ali Gane,14.07,-15.62
Ali Ndènè,15.51,-15.79
Ali Ouri,15.97,-13.37
Ali Yoro Ndéro,15.68,-15.73
Alika,14.68,-15.63
Alikali,12.92,-13.7
Aline Madi,12.72,-14.98
Alinnguel,13.8,-12.17
Alinnkané,14.21,-12.21
Alié,14.92,-15.9
Alkalikounda,12.87,-15.94
Alla Gaouri,13.92,-15.6
Allague,14.13,-13.03
Allou Khaye,14.78,-17.17
Allouki,14.18,-15.38
Alo,16.59,-14.47
Alouki,14.28,-15.67
Aloulaye,15.77,-16.17
Alouniang,15.32,-15.81
Alout,12.9,-15.97
Amadi Ounaré,15.35,-13.02
Amadji,14.61,-12.23
Amadou Ndiaye,15.93,-16.33
Amadra,13.25,-14.08
Amali,15.75,-15.25
Amali,15.74,-15.27
Amama,14.93,-15.85
Amanatoulaye,13.03,-13.87
Amarabé,15.51,-13.34
Amat Ba,15.83,-16.39
Amat Ouwarou,14.58,-15.88
Amdalaye,12.72,-13.03
Amet Niavel,14.75,-15.88
Amitie,14.7,-17.46
Amoura,16.19,-16.36
Amteur,14.82,-17.19
Anabiko,12.85,-12.47
Anambé,12.95,-14.15
Andal,15.19,-16.81
Andiare,15.29,-13.17
Andioume,12.89,-15.75
Angoussaka,12.55,-12.43
Angueniapissa,12.45,-12.27
Aniam,16.53,-14.81
Aniam Lrlabe,15.97,-13.63
Anisse,12.57,-15.73
Ankobiri,12.45,-15.78
Anpountoum,12.93,-15.8
Antorbe,14.37,-13.33
Antou Mane,14.77,-16.08
Anène,14.73,-16.83
Aorane,15.26,-14.46
Aouataba,12.98,-14.2
Aoure,15.14,-12.95
Aourou,14.69,-12.25
Ape Dialoube,15,-12.75
Ape Diaobe,15.02,-12.75
Apeul,15.17,-16.17
Apé Dembagourou,15.01,-12.75
Apé Sakobé,14.99,-12.74
Arafa,14.07,-15.1
Arafat,14.74,-17.45
Arafat,14.72,-17.26
Araldé,14.6,-15.58
Aram,16.34,-14.17
Aramine,14.75,-16.82
Ardo Mademba,15.45,-15.09
Ardoulaye,13.48,-13.47
Arigabo,14.4,-12.46
Aroundou,14.76,-12.25
As,16.61,-14.98
Asndé Balla,16.01,-13.71
Asre,16.12,-14.47
Assane,14.95,-16.77
Assoumoune,12.47,-15.75
Asséré,15.23,-13.34
Atadialama,12.59,-16.75
Atak,12.67,-12.46
Atch Touli,16.15,-14.66
Ate Ndiaye,14.35,-15.85
Atiou,14.3,-15.95
Atioum,12.67,-16.07
Atoure,12.49,-16.32
Aye Noumad,14.4,-15.75
Aye Noumane,14.47,-15.73
Ayméroua,15.47,-15.64
Aynoumal,15.84,-15.99
Ayénémadi,13.13,-13.67
Aï,14.74,-17.12
Aïnoumane,13.07,-16.58
Aïnoun,14.67,-17.09
B'oub'ab,14.57,-17.06
B'oungap,14.61,-17.1
B'ounounga,14.68,-17.11
Ba Bleul,14.77,-16.33
Baandofari,12.81,-12.25
Bab,12.65,-12.49
Bab Sar,14.42,-15.72
Baba Galé,13.68,-13.65
Baba Gaye,14.98,-16.08
Baba-Garage,14.95,-16.48
Bababe,14.22,-12.4
Babadi,12.86,-15.5
Babak,14.67,-16.53
Babak,14.72,-16.9
Babali,13.8,-16.55
Babane,14.48,-15.27
Babanem,14.22,-15.38
Babar,14.72,-15.93
Babate,12.7,-16.06
Babine Tiakré,14.7,-16.77
Babinguél,14.65,-13.32
Babira,12.88,-15.71
Babonda,12.43,-16.27
Babongoulou,14.97,-12.74
Babou,14.8,-16.75
Babou,13.68,-15.7
Babou Naim,14.53,-15.83
Baboue,15.48,-16.28
Babouni,14.23,-16
Babèl Féra,14.68,-15.93
Back,14.2,-16.02
Badagar,12.85,-16.28
Badam,14.65,-16.7
Badar,15.43,-16.45
Badar,15.02,-16.47
Badar Diaye,15.52,-16.33
Badar Ndaye,15.58,-16.37
Badate,14.53,-16.35
Baddème,15.81,-16.36
Baddéme,15.58,-16.25
Badem,12.45,-16.31
Badi,13.15,-13.23
Badiama,12.92,-16.44
Badiandian,12.71,-15.59
Badiandoum,13.3,-15.47
Badiane,15.1,-15.88
Badiane,14.83,-15.83
Badiane Nèm,14.62,-15.75
Badiaol,12.73,-16.33
Badiara,13.22,-14.2
Badiari,12.63,-15.56
Badiat,12.52,-16.39
Badie,12.45,-11.55
Badie Kad,14.75,-16.4
Badiene,13.7,-16.12
Badimbou,13.1,-15.7
Badindin,13.22,-15.62
Badindin,13.12,-15.38
Badinnding,12.63,-15.45
Badio,13.97,-16.08
Badion,13.08,-14.35
Badiongo,12.45,-15.95
Badionkoto,12.5,-16.38
Badionkoto,12.49,-16.25
Badiou Batan,12.75,-13.85
Badioula,12.83,-11.81
Badioure,12.88,-16.14
Badiéléli,12.94,-16.52
Badji,14.83,-15.57
Badji Boko Roko,14.87,-15.57
Badjicounda,13.25,-15.77
Badjikounda,12.68,-15.86
Badjimor,12.68,-15.57
Badobar,12.59,-15.51
Badogor Boki,15.77,-14.49
Badogor Doun,15.78,-14.52
Badon,12.92,-12.37
Badouga,12.82,-15.5
Badoumba Diae,13.2,-15.73
Badoumba Kereouane,13.22,-15.73
Badoumba Mamadou,13.18,-15.72
Badtionkoto Komboli,13.12,-16.28
Bae,14.02,-16.42
Bafabantan,12.98,-15.7
Bafai Labok,14.43,-16.42
